Name,underconsume,overconsume,overcost,av_EV_energy_left,cumulative_reward
10_EVs,9226.04,2800.34,102.024,69.35,322393.1
15_EVs,8241.927,2975.591,104.03,70.37,338428.8
20_EVs,5521.87,1981.361,69.392,67.04,417408.2
25_EVs,4532.04,1772.021,62.1,64.7,446134.9
30_EVs,3048.34,1357.48,47.13,62.85,471355.2
35_EVs,2473.49,1432.13,49.63,62.98,487420.1
Optimal_10_EVs,0.01,0.01,0.01,83.41,370000
Optimal_15_EVs,0.01,0.01,0.01,82.41,380000
Optimal_20_EVs,0.01,0.01,0.01,75.08,450000
Optimal_25_EVs,0.01,0.01,0.01,70.06,500000
Optimal_30_EVs,0.01,0.01,0.01,66.71,525000
Optimal_35_EVs,0.01,0.01,0.01,66.7,540000
