,time,Available_energy_sources
0,2017-06-01 00:00:00,[]
1,2017-06-01 00:15:00,[]
2,2017-06-01 00:30:00,[]
3,2017-06-01 00:45:00,[]
4,2017-06-01 01:00:00,[]
5,2017-06-01 01:15:00,[]
6,2017-06-01 01:30:00,[]
7,2017-06-01 01:45:00,[]
8,2017-06-01 02:00:00,[]
9,2017-06-01 02:15:00,[]
10,2017-06-01 02:30:00,[]
11,2017-06-01 02:45:00,[]
12,2017-06-01 03:00:00,[]
13,2017-06-01 03:15:00,[]
14,2017-06-01 03:30:00,[]
15,2017-06-01 03:45:00,[]
16,2017-06-01 04:00:00,[]
17,2017-06-01 04:15:00,[]
18,2017-06-01 04:30:00,[]
19,2017-06-01 04:45:00,[]
20,2017-06-01 05:00:00,[]
21,2017-06-01 05:15:00,[]
22,2017-06-01 05:30:00,[]
23,2017-06-01 05:45:00,[]
24,2017-06-01 06:00:00,[]
25,2017-06-01 06:15:00,[]
26,2017-06-01 06:30:00,[]
27,2017-06-01 06:45:00,[]
28,2017-06-01 07:00:00,[]
29,2017-06-01 07:15:00,[]
30,2017-06-01 07:30:00,[]
31,2017-06-01 07:45:00,[]
32,2017-06-01 08:00:00,[]
33,2017-06-01 08:15:00,[]
34,2017-06-01 08:30:00,[]
35,2017-06-01 08:45:00,[]
36,2017-06-01 09:00:00,[]
37,2017-06-01 09:15:00,[]
38,2017-06-01 09:30:00,[]
39,2017-06-01 09:45:00,[]
40,2017-06-01 10:00:00,[]
41,2017-06-01 10:15:00,[]
42,2017-06-01 10:30:00,[]
43,2017-06-01 10:45:00,[]
44,2017-06-01 11:00:00,[]
45,2017-06-01 11:15:00,[]
46,2017-06-01 11:30:00,[]
47,2017-06-01 11:45:00,[]
48,2017-06-01 12:00:00,[]
49,2017-06-01 12:15:00,[]
50,2017-06-01 12:30:00,[]
51,2017-06-01 12:45:00,[]
52,2017-06-01 13:00:00,[]
53,2017-06-01 13:15:00,[]
54,2017-06-01 13:30:00,[]
55,2017-06-01 13:45:00,[]
56,2017-06-01 14:00:00,"[{'vehicle_id': 1, 'energy': 67.29294023201038}]"
57,2017-06-01 14:15:00,"[{'vehicle_id': 1, 'energy': 68.21794023201038}]"
58,2017-06-01 14:30:00,"[{'vehicle_id': 1, 'energy': 69.14294023201037}]"
59,2017-06-01 14:45:00,"[{'vehicle_id': 1, 'energy': 70.06794023201039}]"
60,2017-06-01 15:00:00,"[{'vehicle_id': 1, 'energy': 70.99294023201038}]"
61,2017-06-01 15:15:00,"[{'vehicle_id': 1, 'energy': 71.91794023201038}]"
62,2017-06-01 15:30:00,"[{'vehicle_id': 1, 'energy': 72.84294023201038}]"
63,2017-06-01 15:45:00,"[{'vehicle_id': 1, 'energy': 73.76794023201037}]"
64,2017-06-01 16:00:00,"[{'vehicle_id': 1, 'energy': 74.69294023201039}]"
65,2017-06-01 16:15:00,"[{'vehicle_id': 1, 'energy': 75.61794023201038}]"
66,2017-06-01 16:30:00,"[{'vehicle_id': 1, 'energy': 76.54294023201038}]"
67,2017-06-01 16:45:00,"[{'vehicle_id': 1, 'energy': 77.46794023201038}]"
68,2017-06-01 17:00:00,"[{'vehicle_id': 1, 'energy': 78.39294023201037}]"
69,2017-06-01 17:15:00,"[{'vehicle_id': 1, 'energy': 79.31794023201039}]"
70,2017-06-01 17:30:00,"[{'vehicle_id': 1, 'energy': 80.24294023201038}]"
71,2017-06-01 17:45:00,"[{'vehicle_id': 1, 'energy': 81.16794023201038}]"
72,2017-06-01 18:00:00,"[{'vehicle_id': 1, 'energy': 82.09294023201038}]"
73,2017-06-01 18:15:00,"[{'vehicle_id': 1, 'energy': 83.01794023201037}, {'vehicle_id': 2, 'energy': 42.564924934408374}]"
74,2017-06-01 18:30:00,"[{'vehicle_id': 1, 'energy': 83.94294023201039}, {'vehicle_id': 2, 'energy': 43.48992493440837}]"
