,time,Available_energy_sources
0,2017-01-01 00:00:00,[]
1,2017-01-01 01:00:00,[]
2,2017-01-01 02:00:00,[]
3,2017-01-01 03:00:00,[]
4,2017-01-01 04:00:00,[]
5,2017-01-01 05:00:00,[]
6,2017-01-01 06:00:00,[]
7,2017-01-01 07:00:00,"[{'vehicle_id': 1, 'energy': 37.665363068199206}]"
8,2017-01-01 08:00:00,"[{'vehicle_id': 1, 'energy': 41.36536306819921}]"
9,2017-01-01 09:00:00,"[{'vehicle_id': 1, 'energy': 45.065363068199204}, {'vehicle_id': 2, 'energy': 41.999313349012816}]"
10,2017-01-01 10:00:00,"[{'vehicle_id': 1, 'energy': 48.76536306819921}, {'vehicle_id': 2, 'energy': 45.69931334901282}]"
11,2017-01-01 11:00:00,"[{'vehicle_id': 1, 'energy': 52.46536306819921}, {'vehicle_id': 2, 'energy': 49.399313349012814}]"
12,2017-01-01 12:00:00,"[{'vehicle_id': 1, 'energy': 56.165363068199206}, {'vehicle_id': 2, 'energy': 53.09931334901282}]"
13,2017-01-01 13:00:00,"[{'vehicle_id': 1, 'energy': 59.86536306819921}, {'vehicle_id': 2, 'energy': 56.79931334901282}]"
14,2017-01-01 14:00:00,"[{'vehicle_id': 1, 'energy': 63.565363068199204}, {'vehicle_id': 2, 'energy': 60.499313349012816}, {'vehicle_id': 3, 'energy': 14.372203036058123}]"
15,2017-01-01 15:00:00,"[{'vehicle_id': 1, 'energy': 67.2653630681992}, {'vehicle_id': 2, 'energy': 64.19931334901281}, {'vehicle_id': 3, 'energy': 18.072203036058124}]"
16,2017-01-01 16:00:00,"[{'vehicle_id': 1, 'energy': 70.96536306819921}, {'vehicle_id': 2, 'energy': 67.89931334901281}, {'vehicle_id': 3, 'energy': 21.772203036058123}]"
17,2017-01-01 17:00:00,"[{'vehicle_id': 1, 'energy': 74.66536306819921}, {'vehicle_id': 2, 'energy': 71.59931334901282}, {'vehicle_id': 3, 'energy': 25.472203036058126}]"
18,2017-01-01 18:00:00,"[{'vehicle_id': 1, 'energy': 78.3653630681992}, {'vehicle_id': 2, 'energy': 75.29931334901282}, {'vehicle_id': 3, 'energy': 29.17220303605812}, {'vehicle_id': 4, 'energy': 44.587814843106244}]"
19,2017-01-01 19:00:00,"[{'vehicle_id': 1, 'energy': 82.06536306819922}, {'vehicle_id': 2, 'energy': 78.99931334901282}, {'vehicle_id': 3, 'energy': 32.872203036058124}, {'vehicle_id': 4, 'energy': 48.28781484310625}]"
20,2017-01-01 20:00:00,"[{'vehicle_id': 2, 'energy': 82.69931334901281}, {'vehicle_id': 3, 'energy': 36.57220303605813}, {'vehicle_id': 4, 'energy': 51.98781484310624}, {'vehicle_id': 5, 'energy': 52.667088542159554}]"
21,2017-01-01 21:00:00,"[{'vehicle_id': 2, 'energy': 86.39931334901283}, {'vehicle_id': 3, 'energy': 40.27220303605812}, {'vehicle_id': 4, 'energy': 55.687814843106246}, {'vehicle_id': 5, 'energy': 56.36708854215956}]"
22,2017-01-01 22:00:00,"[{'vehicle_id': 2, 'energy': 90.09931334901282}, {'vehicle_id': 3, 'energy': 43.972203036058126}, {'vehicle_id': 4, 'energy': 59.38781484310624}, {'vehicle_id': 5, 'energy': 60.06708854215955}]"
23,2017-01-01 23:00:00,"[{'vehicle_id': 2, 'energy': 93.79931334901282}, {'vehicle_id': 3, 'energy': 47.67220303605813}, {'vehicle_id': 4, 'energy': 63.087814843106244}, {'vehicle_id': 5, 'energy': 63.767088542159556}]"
24,2017-01-02 00:00:00,"[{'vehicle_id': 3, 'energy': 51.372203036058124}, {'vehicle_id': 4, 'energy': 66.78781484310625}, {'vehicle_id': 5, 'energy': 67.46708854215956}]"
25,2017-01-02 01:00:00,"[{'vehicle_id': 3, 'energy': 55.07220303605813}, {'vehicle_id': 4, 'energy': 70.48781484310625}, {'vehicle_id': 5, 'energy': 71.16708854215955}]"
26,2017-01-02 02:00:00,"[{'vehicle_id': 3, 'energy': 58.77220303605813}, {'vehicle_id': 4, 'energy': 74.18781484310625}, {'vehicle_id': 5, 'energy': 74.86708854215956}]"
27,2017-01-02 03:00:00,"[{'vehicle_id': 4, 'energy': 77.88781484310624}, {'vehicle_id': 5, 'energy': 78.56708854215955}]"
28,2017-01-02 04:00:00,"[{'vehicle_id': 4, 'energy': 81.58781484310624}, {'vehicle_id': 5, 'energy': 82.26708854215956}]"
29,2017-01-02 05:00:00,"[{'vehicle_id': 4, 'energy': 85.28781484310625}, {'vehicle_id': 5, 'energy': 85.96708854215956}]"
30,2017-01-02 06:00:00,"[{'vehicle_id': 5, 'energy': 89.66708854215955}]"
31,2017-01-02 07:00:00,"[{'vehicle_id': 5, 'energy': 93.36708854215956}]"
32,2017-01-02 08:00:00,"[{'vehicle_id': 5, 'energy': 97.06708854215955}]"
33,2017-01-02 09:00:00,"[{'vehicle_id': 5, 'energy': 100}]"
34,2017-01-02 10:00:00,[]
35,2017-01-02 11:00:00,[]
36,2017-01-02 12:00:00,[]
37,2017-01-02 13:00:00,[]
38,2017-01-02 14:00:00,[]
39,2017-01-02 15:00:00,[]
40,2017-01-02 16:00:00,"[{'vehicle_id': 6, 'energy': 28.52130090228503}]"
41,2017-01-02 17:00:00,"[{'vehicle_id': 6, 'energy': 32.22130090228503}]"
42,2017-01-02 18:00:00,"[{'vehicle_id': 6, 'energy': 35.92130090228503}, {'vehicle_id': 7, 'energy': 44.21486034271459}]"
43,2017-01-02 19:00:00,"[{'vehicle_id': 6, 'energy': 39.62130090228503}, {'vehicle_id': 7, 'energy': 47.91486034271459}]"
44,2017-01-02 20:00:00,"[{'vehicle_id': 6, 'energy': 43.32130090228503}, {'vehicle_id': 7, 'energy': 51.614860342714586}]"
45,2017-01-02 21:00:00,"[{'vehicle_id': 6, 'energy': 47.021300902285034}, {'vehicle_id': 7, 'energy': 55.31486034271459}]"
